,Unnamed: 0,video_id,start,end,text,video_link,vid_path
5208,5208,_3fFNbEbWpI.en,00:31:12.650,00:31:18.320," Brazil is working, we are having a problem with this virus, I have a coronavirus",https://www.youtube.com/watch?v=_3fFNbEbWpI.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/_3fFNbEbWpI.en.vtt
5212,5212,_3fFNbEbWpI.en,00:31:38.660,00:31:43.580, it will influence the one that we import even in bread and wheat will,https://www.youtube.com/watch?v=_3fFNbEbWpI.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/_3fFNbEbWpI.en.vtt
5213,5213,_3fFNbEbWpI.en,00:31:43.580,00:31:48.140, influence I have spoken to Paulo Guedes I do not interfere with the bank's collection,https://www.youtube.com/watch?v=_3fFNbEbWpI.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/_3fFNbEbWpI.en.vtt
6473,6473,VKSqQJwowWg.en,00:35:41.730,00:35:44.910, affluent that a part of the taquari among others,https://www.youtube.com/watch?v=VKSqQJwowWg.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/VKSqQJwowWg.en.vtt
6933,6933,MIWLSkgBVc4.en,00:42:58.890,00:43:05.570, money destined to combat covid-19 was facilitated by purchases without bidding,https://www.youtube.com/watch?v=MIWLSkgBVc4.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/MIWLSkgBVc4.en.vtt
7536,7536,ZLIUvoZDSFc.en,00:00:20.830,00:00:26.560, logically the issue today is going to be basically the coronavirus and quickly,https://www.youtube.com/watch?v=ZLIUvoZDSFc.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/ZLIUvoZDSFc.en.vtt
7605,7605,ZLIUvoZDSFc.en,00:05:51.760,00:05:57.260, this virus there the coronavirus is to scare good first who's looking at,https://www.youtube.com/watch?v=ZLIUvoZDSFc.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/ZLIUvoZDSFc.en.vtt
7624,7624,ZLIUvoZDSFc.en,00:07:28.390,00:07:33.400, people will have colds flu we will protect our elderly which is the,https://www.youtube.com/watch?v=ZLIUvoZDSFc.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/ZLIUvoZDSFc.en.vtt
7676,7676,ZLIUvoZDSFc.en,00:12:03.460,00:12:09.130, flu has to be careful on behalf of other people if it is positive,https://www.youtube.com/watch?v=ZLIUvoZDSFc.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/ZLIUvoZDSFc.en.vtt
7679,7679,ZLIUvoZDSFc.en,00:12:18.580,00:12:23.340, influenza we release life that goes back to normal everybody taking care,https://www.youtube.com/watch?v=ZLIUvoZDSFc.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/ZLIUvoZDSFc.en.vtt
7702,7702,ZLIUvoZDSFc.en,00:14:05.100,00:14:11.610, billion for health for exactly the coronavirus issue that's it more,https://www.youtube.com/watch?v=ZLIUvoZDSFc.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/ZLIUvoZDSFc.en.vtt
8409,8409,rSO0DszwUbA.en,00:08:56.430,00:09:01.110," in view of the pandemic situation that Galilean obviously noted, right, it has already been detected",https://www.youtube.com/watch?v=rSO0DszwUbA.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/rSO0DszwUbA.en.vtt
8473,8473,rSO0DszwUbA.en,00:14:38.230,00:14:46.180, here is the one from china not from china it was in the beginning the pandemic takes a god from here,https://www.youtube.com/watch?v=rSO0DszwUbA.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/rSO0DszwUbA.en.vtt
8829,8829,hH0JhakIwf0.en,00:00:55.960,00:01:02.650, our admiral do you like president of pepsi who tested positive for coronavirus,https://www.youtube.com/watch?v=hH0JhakIwf0.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/hH0JhakIwf0.en.vtt
8833,8833,hH0JhakIwf0.en,00:01:16.610,00:01:23.060," the day that the coronavirus was positive, he’s feeling already, he said nothing",https://www.youtube.com/watch?v=hH0JhakIwf0.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/hH0JhakIwf0.en.vtt
8846,8846,hH0JhakIwf0.en,00:02:30.640,00:02:34.160," coronavirus issue, because tomorrow if god wants it will",https://www.youtube.com/watch?v=hH0JhakIwf0.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/hH0JhakIwf0.en.vtt
8923,8923,hH0JhakIwf0.en,00:09:51.790,00:09:57.550, and the coronavirus is an Israeli authority conventions they think that in the,https://www.youtube.com/watch?v=hH0JhakIwf0.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/hH0JhakIwf0.en.vtt
8951,8951,hH0JhakIwf0.en,00:12:46.390,00:12:49.650, influenced this death or that person was already in the situation quite,https://www.youtube.com/watch?v=hH0JhakIwf0.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/hH0JhakIwf0.en.vtt
8972,8972,XceWFVE7QLc.en,00:01:45.100,00:01:52.420, invited Brazil for economic recovery after the issue is coronavirus,https://www.youtube.com/watch?v=XceWFVE7QLc.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/XceWFVE7QLc.en.vtt
9013,9013,XceWFVE7QLc.en,00:05:41.830,00:05:47.199, australia's globe biscuit pandemic has nothing to do with the globe system of,https://www.youtube.com/watch?v=XceWFVE7QLc.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/XceWFVE7QLc.en.vtt
9160,9160,XceWFVE7QLc.en,00:19:14.650,00:19:19.750, coronavirus in Brazil and was already taking some steps in this direction and,https://www.youtube.com/watch?v=XceWFVE7QLc.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/XceWFVE7QLc.en.vtt
9233,9233,XceWFVE7QLc.en,00:26:00.519,00:26:07.690, of the passing of your give your 120 more by the smell of coronavirus ok,https://www.youtube.com/watch?v=XceWFVE7QLc.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/XceWFVE7QLc.en.vtt
10152,10152,8Cn1PGmlJuk.en,00:02:32.580,00:02:38.370, where my city there you will see the affluent taquaril neighborhood,https://www.youtube.com/watch?v=8Cn1PGmlJuk.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/8Cn1PGmlJuk.en.vtt
10370,10370,8Cn1PGmlJuk.en,00:20:53.640,00:20:58.530, half of your herd of pigs focus on swine flu,https://www.youtube.com/watch?v=8Cn1PGmlJuk.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/8Cn1PGmlJuk.en.vtt
10427,10427,8Cn1PGmlJuk.en,00:25:56.500,00:26:04.659, fluminense the cruise I think I will face 10 to 12 40%,https://www.youtube.com/watch?v=8Cn1PGmlJuk.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/8Cn1PGmlJuk.en.vtt
10428,10428,8Cn1PGmlJuk.en,00:26:04.659,00:26:11.070, I will not hope for anyone to fall but in 2009 the door and palm trees and fluminense in the,https://www.youtube.com/watch?v=8Cn1PGmlJuk.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/8Cn1PGmlJuk.en.vtt
10563,10563,IqBcgzSsPO8.en,00:01:52.849,00:02:01.580, we cannot avoid it and the effects of the coronavirus do not have,https://www.youtube.com/watch?v=IqBcgzSsPO8.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/IqBcgzSsPO8.en.vtt
11209,11209,4p9fOptKBPc.en,00:14:46.250,00:14:50.620, pandemic can be sure that at that time it would go that it was very extensive,https://www.youtube.com/watch?v=4p9fOptKBPc.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/4p9fOptKBPc.en.vtt
12268,12268,Lj5W5YrCLCk.en,00:36:00.290,00:36:04.710, health a coronavirus doesn’t get there because,https://www.youtube.com/watch?v=Lj5W5YrCLCk.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/Lj5W5YrCLCk.en.vtt
12295,12295,i7CJb5y4SWg.en,00:02:06.470,00:02:13.370," help those who, along with the pandemic, hear a lot of job closings",https://www.youtube.com/watch?v=i7CJb5y4SWg.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/i7CJb5y4SWg.en.vtt
12620,12620,WLd2HmL3Ua0.en,00:06:39.440,00:06:47.510, pandemic that brought you and income ignition jobs in the informal to,https://www.youtube.com/watch?v=WLd2HmL3Ua0.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/WLd2HmL3Ua0.en.vtt
12646,12646,WLd2HmL3Ua0.en,00:08:53.800,00:09:01.389," and to the left, right, it's fluctuating quite contradictory, it's already gone up",https://www.youtube.com/watch?v=WLd2HmL3Ua0.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/WLd2HmL3Ua0.en.vtt
12671,12671,WLd2HmL3Ua0.en,00:11:06.990,00:11:11.310, coronavirus inside the ussr after they saw that that didn’t get right here in,https://www.youtube.com/watch?v=WLd2HmL3Ua0.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/WLd2HmL3Ua0.en.vtt
12777,12777,WLd2HmL3Ua0.en,00:20:46.460,00:20:52.790," collection of a sword pandemic then he was excited by the globe, you know that",https://www.youtube.com/watch?v=WLd2HmL3Ua0.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/WLd2HmL3Ua0.en.vtt
12813,12813,WLd2HmL3Ua0.en,00:24:32.210,00:24:36.210, coronavirus so everything you talk about now is this,https://www.youtube.com/watch?v=WLd2HmL3Ua0.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/WLd2HmL3Ua0.en.vtt
13041,13041,WLd2HmL3Ua0.en,00:46:16.899,00:46:23.739, very serious issue of the pandemic what it really takes right away from our,https://www.youtube.com/watch?v=WLd2HmL3Ua0.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/WLd2HmL3Ua0.en.vtt
13134,13134,iA8m_uNrukw.en,00:01:24.720,00:01:33.119, place and when the second is everything Almost the fla-flu right or a worker in,https://www.youtube.com/watch?v=iA8m_uNrukw.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/iA8m_uNrukw.en.vtt
13243,13243,iA8m_uNrukw.en,00:12:22.890,00:12:29.100, this must be the pandemic stayed at home a long time there but I clothes clothes,https://www.youtube.com/watch?v=iA8m_uNrukw.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/iA8m_uNrukw.en.vtt
13295,13295,iA8m_uNrukw.en,00:17:32.840,00:17:38.390, and what happened the pandemic came the rice producer grew in the same,https://www.youtube.com/watch?v=iA8m_uNrukw.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/iA8m_uNrukw.en.vtt
13298,13298,iA8m_uNrukw.en,00:17:47.580,00:17:52.140, amount we had last year there was a change in habit in the pandemic,https://www.youtube.com/watch?v=iA8m_uNrukw.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/iA8m_uNrukw.en.vtt
13373,13373,iA8m_uNrukw.en,00:25:33.010,00:25:46.060," I think it's four years and we don't even have the flu vaccine, not everyone",https://www.youtube.com/watch?v=iA8m_uNrukw.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/iA8m_uNrukw.en.vtt
13447,13447,iA8m_uNrukw.en,00:32:49.320,00:32:54.240, talk don't know São Paulo The dear government of São Paulo and the full pandemic,https://www.youtube.com/watch?v=iA8m_uNrukw.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/iA8m_uNrukw.en.vtt
13778,13778,k_EEFSvk4Ac.en,00:07:55.330,00:08:03.639, in brazil about drugs having influenced the no g20 and i said look of course it is,https://www.youtube.com/watch?v=k_EEFSvk4Ac.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/k_EEFSvk4Ac.en.vtt
14128,14128,ALFq4eHRUo0.en,00:17:20.230,00:17:26.569, a serious problem passed the swine flu swine flu for china,https://www.youtube.com/watch?v=ALFq4eHRUo0.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/ALFq4eHRUo0.en.vtt
14818,14818,Ea5ZK0Fr5TM.en,00:15:21.480,00:15:27.230, since the beginning of the pandemic the three an orientation on the best way to use,https://www.youtube.com/watch?v=Ea5ZK0Fr5TM.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/Ea5ZK0Fr5TM.en.vtt
14839,14839,Ea5ZK0Fr5TM.en,00:17:24.890,00:17:29.620, we verified during the pandemic that the best practices they were other,https://www.youtube.com/watch?v=Ea5ZK0Fr5TM.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/Ea5ZK0Fr5TM.en.vtt
14982,14982,Ea5ZK0Fr5TM.en,00:30:58.130,00:31:02.480, pandemic if you understand that the north and south are two very different stages,https://www.youtube.com/watch?v=Ea5ZK0Fr5TM.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/Ea5ZK0Fr5TM.en.vtt
15056,15056,Ea5ZK0Fr5TM.en,00:38:34.119,00:38:39.789, it is but like that pandemic and that situation was epidemiological data,https://www.youtube.com/watch?v=Ea5ZK0Fr5TM.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/Ea5ZK0Fr5TM.en.vtt
15114,15114,Ea5ZK0Fr5TM.en,00:44:12.809,00:44:17.730, of the different coronary cell coronavirus for all of us but we will see that,https://www.youtube.com/watch?v=Ea5ZK0Fr5TM.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/Ea5ZK0Fr5TM.en.vtt
15122,15122,Ea5ZK0Fr5TM.en,00:45:00.000,00:45:05.400, live with this new lips and this new coronavirus like that,https://www.youtube.com/watch?v=Ea5ZK0Fr5TM.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/Ea5ZK0Fr5TM.en.vtt
15125,15125,Ea5ZK0Fr5TM.en,00:45:18.790,00:45:24.670, or less will always exist as there is hiv as there are influenza viruses a,https://www.youtube.com/watch?v=Ea5ZK0Fr5TM.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/Ea5ZK0Fr5TM.en.vtt
15126,15126,Ea5ZK0Fr5TM.en,00:45:24.670,00:45:28.930, influenza in so many other viruses and diseases that we take medicine but if,https://www.youtube.com/watch?v=Ea5ZK0Fr5TM.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/Ea5ZK0Fr5TM.en.vtt
15131,15131,Ea5ZK0Fr5TM.en,00:46:01.310,00:46:07.580," pandemic to change, right? What happened is that people prepare more",https://www.youtube.com/watch?v=Ea5ZK0Fr5TM.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/Ea5ZK0Fr5TM.en.vtt
15319,15319,nISMugE1f0Q.en,00:12:57.600,00:13:03.759, we are already 6 months old the pandemic more or less practically two farofa,https://www.youtube.com/watch?v=nISMugE1f0Q.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/nISMugE1f0Q.en.vtt
15522,15522,YCliiy_yl9Y.en,00:00:17.830,00:00:24.039, got it right growing last year even with the pandemic it's a lot going forward,https://www.youtube.com/watch?v=YCliiy_yl9Y.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/YCliiy_yl9Y.en.vtt
15677,15677,YCliiy_yl9Y.en,00:14:41.380,00:14:46.870, in the year and pandemics an extremely difficult year a year you know that all of us there,https://www.youtube.com/watch?v=YCliiy_yl9Y.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/YCliiy_yl9Y.en.vtt
16325,16325,HkctbYCskw8.en,00:06:00.370,00:06:07.389, that are influential in the economy so the economy for example that of oil that,https://www.youtube.com/watch?v=HkctbYCskw8.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/HkctbYCskw8.en.vtt
17970,17970,xtyO5wr1b00.en,00:22:11.980,00:22:16.420, o stayed awake at night but it is good to have the archeological zone this influences the,https://www.youtube.com/watch?v=xtyO5wr1b00.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/xtyO5wr1b00.en.vtt
18146,18146,ZZj93uz78NE.en,00:02:59.329,00:03:05.370, of a pandemic a distortion a misinformation,https://www.youtube.com/watch?v=ZZj93uz78NE.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/ZZj93uz78NE.en.vtt
18427,18427,ZZj93uz78NE.en,00:28:32.980,00:28:39.309, sure they passed asymptomatically by covid-19 the government,https://www.youtube.com/watch?v=ZZj93uz78NE.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/ZZj93uz78NE.en.vtt
18429,18429,ZZj93uz78NE.en,00:28:44.950,00:28:49.450, passed asymptomatically through the coronavirus so that they could take the,https://www.youtube.com/watch?v=ZZj93uz78NE.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/ZZj93uz78NE.en.vtt
18439,18439,ZZj93uz78NE.en,00:29:44.840,00:29:53.240, is to put the vaccine on someone who has had the coronavirus he is a risk,https://www.youtube.com/watch?v=ZZj93uz78NE.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/ZZj93uz78NE.en.vtt
18533,18533,ZZj93uz78NE.en,00:38:06.460,00:38:13.510," hard cane, you know, increase taxes and things that influence the basic basket",https://www.youtube.com/watch?v=ZZj93uz78NE.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/ZZj93uz78NE.en.vtt
18595,18595,ZZj93uz78NE.en,00:44:19.630,00:44:25.390, time that no one really knows the result on top of this coronavirus,https://www.youtube.com/watch?v=ZZj93uz78NE.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/ZZj93uz78NE.en.vtt
18674,18674,ZZj93uz78NE.en,00:51:23.030,00:51:27.530, common flu and the very low transmission among them some states already,https://www.youtube.com/watch?v=ZZj93uz78NE.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/ZZj93uz78NE.en.vtt
18704,18704,ZZj93uz78NE.en,00:54:21.480,00:54:27.690, you control the pandemic and contamination rates fall and life begins to,https://www.youtube.com/watch?v=ZZj93uz78NE.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/ZZj93uz78NE.en.vtt
18803,18803,ZZj93uz78NE.en,01:04:06.910,01:04:14.670, tested yes but there has never been a confluence of so many people and,https://www.youtube.com/watch?v=ZZj93uz78NE.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/ZZj93uz78NE.en.vtt
19014,19014,AhySjAMku18.en,00:14:07.290,00:14:12.210, at this time of very good pandemic and the third point the box is financing,https://www.youtube.com/watch?v=AhySjAMku18.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/AhySjAMku18.en.vtt
19020,19020,AhySjAMku18.en,00:14:39.400,00:14:46.300, the beginning of the pandemic ten billion reais for small and micro companies this,https://www.youtube.com/watch?v=AhySjAMku18.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/AhySjAMku18.en.vtt
19192,19192,AhySjAMku18.en,00:29:15.880,00:29:22.030, even the people of her are also just thinking of respecting us pandemics we,https://www.youtube.com/watch?v=AhySjAMku18.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/AhySjAMku18.en.vtt
19691,19691,GVzh8k6YjKU.en,00:15:12.370,00:15:17.440, during the pandemic closing all the measures he took you repeat the can,https://www.youtube.com/watch?v=GVzh8k6YjKU.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/GVzh8k6YjKU.en.vtt
19981,19981,GVzh8k6YjKU.en,00:41:04.190,00:41:09.349, lower source economy you came out during the pandemic I said less,https://www.youtube.com/watch?v=GVzh8k6YjKU.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/GVzh8k6YjKU.en.vtt
20147,20147,JsIdVBSushc.en,00:12:18.990,00:12:23.760, you guided yourself because of the pandemic we unbalanced so only,https://www.youtube.com/watch?v=JsIdVBSushc.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/JsIdVBSushc.en.vtt
20342,20342,JsIdVBSushc.en,00:30:36.519,00:30:42.340, real crazy record profit and that year before the pandemic we were just fine and,https://www.youtube.com/watch?v=JsIdVBSushc.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/JsIdVBSushc.en.vtt
20363,20363,JsIdVBSushc.en,00:32:25.320,00:32:29.520, President Pedro 'night with the pandemic the government was forced to mount and,https://www.youtube.com/watch?v=JsIdVBSushc.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/JsIdVBSushc.en.vtt
20403,20403,JsIdVBSushc.en,00:35:57.210,00:36:04.730, government changed their lives or the pandemic is very serious really people,https://www.youtube.com/watch?v=JsIdVBSushc.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/JsIdVBSushc.en.vtt
20554,20554,S28DvOuB6cM.en,00:01:56.640,00:02:01.440, we are having our on the pandemic issue are these external lock things,https://www.youtube.com/watch?v=S28DvOuB6cM.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/S28DvOuB6cM.en.vtt
20608,20608,S28DvOuB6cM.en,00:06:45.520,00:06:50.500, have a coronavirus problem and it starts working and he solved it is,https://www.youtube.com/watch?v=S28DvOuB6cM.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/S28DvOuB6cM.en.vtt
